description,price,rating,review_count,url
"HP 15 11th Gen Intel Core i3 Processor 15.6"" (39.62cms) FHD Laptop with Alexa Built-in(i3-1115G4/8GB/1TB HDD/M.2 Slot/Win 10/MS Office/Natural Silver/1.76 Kg), 15s-du3038TU","41,990",3.7 out of 5 stars,190,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg35_1?ie=UTF8&adId=A03144331WA1C21WLPWI5&url=%2FHP-Processor-39-62cms-i3-1115G4-15s-du3038TU%2Fdp%2FB08S3MGDS3%2Fref%3Dsr_1_548_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1627417076%26sr%3D8-548-spons%26psc%3D1&qualifier=1627417076&id=1970270077806926&widgetName=sp_mtf
"Dell New Latitude 3410 14"" Core i3 10th Gen || 4GB || 1 TB || DOS-Ubantu || 1 Year ADP+NBD Dell Warranty || 14 "" Screen Size || Without Bag","37,149",3.2 out of 5 stars,12,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg35_1?ie=UTF8&adId=A026612636M4EQCWPR91&url=%2FDell-Latitude-3410-Core-10th%2Fdp%2FB08KJ9D2HD%2Fref%3Dsr_1_549_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1627417076%26sr%3D8-549-spons%26psc%3D1&qualifier=1627417076&id=1970270077806926&widgetName=sp_btf
"Lenovo Ideapad Slim 3 10th Gen Intel Core i5 15.6 inch (39.62 cms) FHD Thin and Light Laptop (8GB/1TB/Windows 10/MS Office/NVIDIA MX130 2GB Graphics/Platinum Grey/1.85Kg), 81WB00ANIN","55,290",3.9 out of 5 stars,145,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg35_1?ie=UTF8&adId=A03263223HZQ2C5EZSDGO&url=%2FLenovo-Ideapad-Graphics-Platinum-81WB00ANIN%2Fdp%2FB087D41JFB%2Fref%3Dsr_1_550_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1627417076%26sr%3D8-550-spons%26psc%3D1&qualifier=1627417076&id=1970270077806926&widgetName=sp_btf
"DELL Inspiron 5501 15.6-inch FHD Laptop (10th Gen Core i7-1065G7/8GB/512GB NVMe SSD/Windows 10/MS Office 2019/2GB NVIDIA GeForce MX330 Graphics/Backlit KB), Platinum Silver","91,990",4.5 out of 5 stars,6,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg36_1?ie=UTF8&adId=A06076422NNR4KJN9GVJV&url=%2FDELL-Inspiron-5501-15-6-inch-i7-1065G7%2Fdp%2FB08HV1HFH6%2Fref%3Dsr_1_561_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1627417080%26sr%3D8-561-spons%26psc%3D1&qualifier=1627417080&id=1040241229297742&widgetName=sp_atf_next
"Lenovo Yoga Slim 7 Intel i5 11th Gen 14"" FHD Thin and Light Laptop (16GB/512SSD/Win10 + Office Home/Intel Iris Xe Graphics/Slate Grey/1.36kg), 82A3009RIN","82,990",3.5 out of 5 stars,17,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg36_1?ie=UTF8&adId=A07711982QR9F968IMVYI&url=%2FLenovo-Laptop-512SSD-Graphics-82A3009RIN%2Fdp%2FB092MRNLLF%2Fref%3Dsr_1_562_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1627417080%26sr%3D8-562-spons%26psc%3D1&qualifier=1627417080&id=1040241229297742&widgetName=sp_atf_next
"HP Pavilion x360 Core i3 Touchscreen 14-inch (35.56 cms) FHD Laptop (i3-10110U/8GB/256GB SSD/Win 10/MS Office/Mineral Silver/1.6kg), 14-dh1181tu","54,000",4.5 out of 5 stars,201,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg36_1?ie=UTF8&adId=A03507946OSD3NJJFO72&url=%2FHP-Pavilion-Touchscreen-i3-10110U-14-dh1181tu%2Fdp%2FB08HK11NCJ%2Fref%3Dsr_1_563_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1627417080%26sr%3D8-563-spons%26psc%3D1&qualifier=1627417080&id=1040241229297742&widgetName=sp_mtf
"Dell 14 (2021) i3-1125G4 2in1 Touch Screen Laptop, 8Gb RAM, 256Gb SSD, 14” (35.56 cms) FHD Display, Win 10 + MSO, Backlit KB + FPR, Silver Color (Inspiron 5410, D560563WIN9S)","50,190",3.7 out of 5 stars,33,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg36_1?ie=UTF8&adId=A0351350OEJ5IDURQKPI&url=%2FDell-i3-1125G4-Inspiron-5410-D560563WIN9S%2Fdp%2FB097SYQL3M%2Fref%3Dsr_1_564_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1627417080%26sr%3D8-564-spons%26psc%3D1&qualifier=1627417080&id=1040241229297742&widgetName=sp_mtf
"MSI Modern 15, Intel 10th Gen. i5-10210U, 15.6"" (39.62cms) FHD Laptop (8GB/512GB NVMe SSD/Windows 10 Home/Carbon Grey/1.6Kg), A10M-482IN","63,237",3.5 out of 5 stars,8,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg36_1?ie=UTF8&adId=A0243161TZM1T5NQHJ4A&url=%2FMSI-i5-10210U-39-62cms-Windows-A10M-482IN%2Fdp%2FB08NTVZMWD%2Fref%3Dsr_1_565_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1627417080%26sr%3D8-565-spons%26psc%3D1&qualifier=1627417080&id=1040241229297742&widgetName=sp_btf
"ASUS VivoBook S S14 Intel Core i5-1135G7 11th Gen 14"" (35.56 cm) FHD Thin and Light Laptop (8GB RAM/512GB SSD + 32GB Optane Memory/Windows 10/Office 2019/Iris X Graphics/White/1.4 Kg) S433EA-AM502TS","64,400",4.3 out of 5 stars,180,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg36_1?ie=UTF8&adId=A03404823J60Y42WFXIWD&url=%2FASUS-VivoBook-i5-1135G7-Graphics-S433EA-AM502TS%2Fdp%2FB08SNHVK6F%2Fref%3Dsr_1_566_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1627417080%26sr%3D8-566-spons%26psc%3D1&qualifier=1627417080&id=1040241229297742&widgetName=sp_btf
"Lenovo Yoga 7 11th Gen Intel Core i7-1165G7 14"" (35.56cm) FHD IPS 2-in-1 Touchscreen Laptop (16GB/512GB SSD/Windows 10/MS Office/Lenovo Digital Pen/Fingerprint Reader/Slate Grey/1.43Kg), 82BH004HIN","96,888",3.9 out of 5 stars,29,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg37_1?ie=UTF8&adId=A0870125WC700WBB6DFH&url=%2FLenovo-Touchscreen-Fingerprint-Aluminium-82BH004HIN%2Fdp%2FB08P3M22QQ%2Fref%3Dsr_1_577_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1627417083%26sr%3D8-577-spons%26psc%3D1&qualifier=1627417083&id=4339421233017892&widgetName=sp_atf_next
"HP Pavilion 11th Gen Intel Core i5 Processor 14"" (35.56cms) FHD Laptop with Alexa Built-in (16GB/512GB SSD/Win 10/MS Office/2GB NVIDIA MX450 Graphics/Natural Silver/1.41 Kg), 14-dv0084TX","70,990",4.3 out of 5 stars,209,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg37_1?ie=UTF8&adId=A031236928QWUQ197ZZJW&url=%2FHP-Pavilion-Processor-35-56cms-14-dv0084TX%2Fdp%2FB08XMLV2HK%2Fref%3Dsr_1_578_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1627417083%26sr%3D8-578-spons%26psc%3D1&qualifier=1627417083&id=4339421233017892&widgetName=sp_atf_next
"ASUS ZenBook Duo 14 (2021), 14"" (35.56 cms) FHD Dual-Screen Touch Laptop (8GB/512GB SSD/Intel Iris Xe Graphics/Office 2019/Windows 10/Celestial Blue/1.62 Kg), UX482EA-KA501TS","1,04,490",4.5 out of 5 stars,7,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg37_1?ie=UTF8&adId=A1008338T6BBJJCMT1VP&url=%2FASUS-Dual-Screen-Graphics-Celestial-UX482EA-KA501TS%2Fdp%2FB08CGKFW23%2Fref%3Dsr_1_579_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1627417083%26sr%3D8-579-spons%26psc%3D1&qualifier=1627417083&id=4339421233017892&widgetName=sp_mtf
"HP OMEN 10th Gen Intel Core i5 Processor 15.6-inch FHD Gaming Laptop (i5-10300H/8GB/1TB SSD/Windows 10/NVIDIA GTX 1650ti 4GB/Shadow Black/2.36 kg), 15-ek0017TX","85,999",4.2 out of 5 stars,73,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg37_1?ie=UTF8&adId=A05754334CLDTRD1RDJF&url=%2FHP-Processor-15-6-inch-i5-10300H-15-ek0017TX%2Fdp%2FB08CGMGQ3P%2Fref%3Dsr_1_580_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1627417083%26sr%3D8-580-spons%26psc%3D1&qualifier=1627417083&id=4339421233017892&widgetName=sp_mtf
Dell Inspiron 5502 15.6 Inch FHD 11th gen Laptop (i5-1135G7 / 8GB / 512 SSD / MX330 2GB Card Nvidia Graphics Card/ Win 10 + MS Office H&S / Silver) D560364WIN9S,"70,250",4.0 out of 5 stars,43,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg37_1?ie=UTF8&adId=A03119133MO6WHVA2XKV4&url=%2FDell-Inspiron-i5-1135G7-Graphics-D560364WIN9S%2Fdp%2FB08M5PFY5F%2Fref%3Dsr_1_581_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1627417083%26sr%3D8-581-spons%26psc%3D1&qualifier=1627417083&id=4339421233017892&widgetName=sp_btf
"HP 15 11th Gen Intel Core i3 Processor 15.6"" (39.62cms) FHD Laptop (8GB/256GB SSD/Win 10/MS Office/Integrated Graphics/Jet Black/1.69 Kg), 15s-fq2075TU","40,990",4.1 out of 5 stars,38,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg37_1?ie=UTF8&adId=A031427721N2WH4RIDES8&url=%2FHP-Processor-39-62cms-Integrated-15s-fq2075TU%2Fdp%2FB08XNXJDVX%2Fref%3Dsr_1_582_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1627417083%26sr%3D8-582-spons%26psc%3D1&qualifier=1627417083&id=4339421233017892&widgetName=sp_btf
